City ID,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Wind Speed (mph)
0,Bredasdorp,1,ZA,1591764762,66,-34.53,20.04,55.4,8.25
1,Uttaradit,75,TH,1591764762,55,17.67,100.5,89.6,5.82
2,Jamestown,1,US,1591764762,60,42.1,-79.24,73.4,6.93
3,Lethem,100,GY,1591764763,85,3.38,-59.8,75.94,2.86
4,Ushuaia,40,AR,1591764518,80,-54.8,-68.3,33.8,8.05
5,Thompson,90,CA,1591764763,100,55.74,-97.86,44.6,4.7
6,Svetlaya,94,RU,1591764763,43,46.54,138.33,72.55,14.88
7,Bud,55,US,1591764763,85,39.45,-86.18,80.01,5.01
8,Codrington,2,AU,1591764763,55,-38.27,141.97,55.69,7.94
9,Beloha,0,MG,1591764763,74,-25.17,45.05,65.01,10.69
10,Mayumba,27,GA,1591764764,91,-3.43,10.66,72.32,3.58
11,Ternate,89,ID,1591764764,70,0.8,127.4,85.03,3.27
12,Verkhoyansk,100,RU,1591764764,60,67.54,133.38,47.35,9.62
13,Aklavik,90,CA,1591764764,87,68.22,-135.01,42.8,6.93
14,Tilichiki,14,RU,1591764764,72,60.47,166.1,46.2,8.5
15,Tuktoyaktuk,90,CA,1591764764,70,69.45,-133.04,46.4,4.7
16,Batagay,100,RU,1591764765,65,67.63,134.63,48.47,7.45
17,Ribeira Grande,97,PT,1591764765,84,38.52,-28.7,64.13,7.47
18,Meadow Lake,1,US,1591764765,11,34.8,-106.54,68.0,11.41
19,Gore,11,NZ,1591764765,84,-46.1,168.94,52.0,8.99
20,Karabük,39,TR,1591764567,60,41.2,32.63,73.17,2.42
21,Albany,7,US,1591764766,58,42.6,-73.97,66.99,2.62
22,Punta Arenas,61,CL,1591764766,86,-53.15,-70.92,37.4,24.16
23,Lerwick,51,GB,1591764766,81,60.15,-1.15,48.2,13.87
24,Biak,100,ID,1591764766,72,-0.91,122.88,82.44,9.64
25,Bintulu,75,MY,1591764766,70,3.17,113.03,89.6,3.36
26,Cayenne,65,GF,1591764473,100,4.93,-52.33,77.0,2.86
27,Carnarvon,0,AU,1591764767,30,-24.87,113.63,75.65,5.26
28,Haines Junction,44,CA,1591764767,34,60.75,-137.51,59.2,3.47
29,Mildura,0,AU,1591764767,42,-34.2,142.15,64.0,6.93
30,Ostrovnoy,100,RU,1591764767,79,68.05,39.51,42.06,7.63
31,Provideniya,0,RU,1591764767,71,64.38,-173.3,50.0,9.04
32,Lebu,100,CL,1591764768,84,-37.62,-73.65,52.41,16.4
33,Newport,99,GB,1591764768,89,51.59,-3.0,55.99,4.27
34,Qaanaaq,0,GL,1591764768,84,77.48,-69.36,28.47,4.65
35,Yellowknife,90,CA,1591764763,70,62.46,-114.35,46.4,8.05
36,Yar-Sale,85,RU,1591764768,49,66.83,70.83,75.74,26.35
37,Hermanus,10,ZA,1591764769,92,-34.42,19.23,55.0,18.01
38,Arraial do Cabo,42,BR,1591764607,86,-22.97,-42.03,72.07,18.75
39,Saint-Philippe,75,RE,1591764769,78,-21.36,55.77,71.6,21.92
40,Busselton,99,AU,1591764698,46,-33.65,115.33,66.0,10.74
41,Sainte-Marie,75,RE,1591764769,77,-20.9,55.55,69.8,20.8
42,Chui,0,UY,1591764769,95,-33.7,-53.46,51.04,2.8
43,Makkah al Mukarramah,21,SA,1591764770,12,21.43,39.83,97.05,7.99
44,Rikitea,21,PF,1591764770,86,-23.12,-134.97,75.45,12.44
45,Nikolskoye,90,RU,1591764770,93,59.7,30.79,64.0,2.24
46,Vaini,75,TO,1591764770,94,-21.2,-175.2,77.0,10.29
47,Nokha,0,IN,1591764770,33,27.6,73.42,99.41,14.2
48,Ségou,90,ML,1591764770,56,13.43,-6.22,82.36,17.29
49,Upernavik,19,GL,1591764771,95,72.79,-56.15,31.14,4.59
50,Taveta,75,KE,1591764771,88,-3.4,37.67,66.2,9.17
51,Nhamundá,12,BR,1591764545,92,-2.19,-56.71,72.97,2.15
52,Hobart,75,AU,1591764472,50,-42.88,147.33,55.4,16.11
53,Katiola,100,CI,1591764771,100,8.13,-5.1,66.2,6.93
54,Bajil,0,YE,1591764771,52,15.06,43.29,92.35,4.76
55,Mahébourg,75,MU,1591764772,73,-20.41,57.7,71.6,16.11
56,Taoudenni,16,ML,1591764772,29,22.68,-3.98,91.94,13.82
57,Puerto Ayora,79,EC,1591764772,89,-0.74,-90.35,73.0,5.01
58,Kaitangata,5,NZ,1591764772,57,-46.28,169.85,55.0,8.37
59,Bagotville,92,AU,1591764772,93,-28.98,153.42,64.4,6.93
60,Luckenwalde,91,DE,1591764772,84,52.08,13.17,55.0,1.99
61,Porto Torres,40,IT,1591764773,68,40.84,8.4,66.2,8.05
62,La Ronge,75,CA,1591764773,62,55.1,-105.28,53.6,4.7
63,Altay,14,CN,1591764773,43,47.87,88.12,67.57,9.26
64,Bengkulu,13,ID,1591764560,66,-3.8,102.27,85.73,7.67
65,Karratha,0,AU,1591764773,38,-20.74,116.85,82.18,13.18
66,Anaconda,90,US,1591764752,61,46.13,-112.94,50.0,4.7
67,Clyde River,90,CA,1591764774,86,70.47,-68.59,33.8,11.41
68,Churapcha,81,RU,1591764774,48,62.0,132.43,63.41,7.67
69,Mataura,19,NZ,1591764774,84,-46.19,168.86,52.0,8.99
70,Bubaque,76,GW,1591764774,85,11.28,-15.83,80.01,9.26
71,Okato,75,NZ,1591764604,83,-39.2,173.88,54.0,5.99
72,Boa Vista,75,BR,1591764775,88,2.82,-60.67,75.2,1.12
73,Tsimmerbude,75,RU,1591764775,93,54.67,20.13,59.0,6.71
74,Nantucket,90,US,1591764775,87,41.28,-70.1,62.01,4.7
75,Khor,0,RU,1591764775,56,47.89,134.95,77.95,13.98
76,East London,0,ZA,1591764604,28,-33.02,27.91,73.4,14.99
77,Dikson,100,RU,1591764776,98,73.51,80.55,33.6,11.23
78,Bowen,92,AU,1591764776,60,-20.02,148.23,73.4,14.99
79,Vao,39,NC,1591764776,77,-22.67,167.48,72.09,24.96
80,Kapaa,75,US,1591764776,78,22.08,-159.32,80.6,17.22
81,Port Alfred,4,ZA,1591764626,34,-33.59,26.89,75.0,5.99
82,Bluff,41,NZ,1591764777,84,-46.6,168.33,52.0,8.99
83,Pokhara,0,NP,1591764777,40,28.23,83.98,89.89,4.21
84,Kontagora,94,NG,1591764777,90,10.4,5.47,73.65,5.17
85,Khatanga,11,RU,1591764778,30,71.97,102.5,60.53,11.3
86,Chokurdakh,96,RU,1591764778,62,70.63,147.92,43.0,14.2
87,Berlevåg,43,NO,1591764778,66,70.86,29.09,42.1,17.9
88,Vila Velha,40,BR,1591764778,94,-20.33,-40.29,70.0,2.24
89,Pakxan,100,LA,1591764778,52,18.38,103.66,98.01,4.81
90,Hong Kong,100,HK,1591764778,66,22.29,114.16,91.0,15.01
91,Cape Town,90,ZA,1591764617,93,-33.93,18.42,57.0,24.16
92,Buchanan,96,LR,1591764779,86,5.88,-10.05,77.63,3.8
93,Buckeye,1,US,1591764499,9,33.37,-112.58,84.2,6.93
94,New Norfolk,99,AU,1591764779,72,-42.78,147.06,55.0,3.0
95,Quatre Cocos,75,MU,1591764779,73,-20.21,57.76,71.6,16.11
96,Puerto Escondido,11,MX,1591764779,79,15.85,-97.07,80.89,9.75
97,Longyearbyen,75,SJ,1591764779,83,78.22,15.64,41.0,5.82
98,Cap Malheureux,13,MU,1591764780,77,-19.98,57.61,71.01,11.99
99,Henties Bay,1,NA,1591764780,93,-22.12,14.28,59.0,1.5
100,Taltal,16,CL,1591764484,74,-25.4,-70.48,57.18,3.53
101,Hualmay,85,PE,1591764780,84,-11.1,-77.61,61.9,2.66
102,Lieksa,99,FI,1591764780,90,63.32,30.02,55.69,7.94
103,Faanui,43,PF,1591764780,81,-16.48,-151.75,79.02,18.72
104,Salalah,40,OM,1591764781,79,17.02,54.09,86.0,8.05
105,Garachiné,100,PA,1591764781,84,8.06,-78.36,79.88,8.32
106,Divnogorsk,75,RU,1591764781,81,55.96,92.36,46.4,8.95
107,Novy Urengoy,97,RU,1591764781,60,66.08,76.63,65.16,23.58
108,Hilo,20,US,1591764781,57,19.73,-155.09,80.6,9.17
109,Avarua,100,CK,1591764781,69,-21.21,-159.78,77.0,14.99
110,Ponta do Sol,40,PT,1591764782,68,32.67,-17.1,64.4,6.93
111,Rawson,71,AR,1591764782,51,-43.3,-65.1,49.84,16.49
112,Butaritari,30,KI,1591764782,75,3.07,172.79,83.3,12.41
113,Tegul'det,99,RU,1591764782,44,57.31,88.17,61.41,5.66
114,Flinders,100,AU,1591764782,91,-34.58,150.86,62.01,1.01
115,Bethel,1,US,1591764783,73,41.37,-73.41,71.01,2.26
116,Egvekinot,18,RU,1591764783,44,66.32,-179.17,56.28,6.26
117,North Platte,1,US,1591764783,76,41.12,-100.77,54.0,6.93
118,Kropotkin,98,RU,1591764783,74,45.44,40.58,66.0,6.55
119,Kralendijk,70,BQ,1591764783,78,12.15,-68.27,82.4,18.34
120,Batticaloa,100,LK,1591764784,56,7.71,81.69,88.86,4.7
121,Fairbanks,75,US,1591764513,55,64.84,-147.72,66.2,3.36
122,Pringsewu,47,ID,1591764784,57,-5.36,104.97,89.46,4.36
123,Waldkirch,96,DE,1591764784,95,48.1,7.96,55.0,2.95
124,Fermoy,75,IE,1591764686,93,52.14,-8.28,55.0,5.82
125,Fort Nelson,20,CA,1591764784,62,58.81,-122.7,59.0,4.7
126,Hithadhoo,100,MV,1591764785,74,-0.6,73.08,83.98,10.74
127,Naze,75,JP,1591764531,100,28.37,129.48,78.8,10.29
128,Lüderitz,40,NA,1591764785,84,-26.65,15.16,57.92,16.13
129,Biltine,36,TD,1591764785,26,14.53,20.92,84.22,11.27
130,Saldanha,34,ZA,1591764785,87,-33.01,17.94,57.2,27.51
131,Atuona,44,PF,1591764785,76,-9.8,-139.03,81.32,20.89
132,Xinzhou,100,CN,1591764785,20,38.41,112.73,86.2,6.02
133,Sherbakul',40,RU,1591764786,44,54.63,72.4,78.8,6.71
134,Waipawa,0,NZ,1591764786,74,-41.41,175.52,52.0,3.8
135,San Jose,20,US,1591764647,40,37.34,-121.89,72.0,8.05
136,Laela,68,TZ,1591764786,83,-8.57,32.05,55.45,2.66
137,Ninghai,90,CN,1591764786,86,29.29,121.42,90.0,2.51
138,Olafsvik,25,IS,1591764786,83,64.89,-23.71,44.47,2.68
139,Orlik,95,RU,1591764787,36,52.52,99.83,55.62,3.83
140,Şile,84,TR,1591764787,73,41.18,29.61,66.0,2.24
141,Kahului,20,US,1591764787,54,20.89,-156.47,84.2,18.34
142,Ahipara,52,NZ,1591764673,76,-35.17,173.17,57.11,8.66
143,Río Gallegos,59,AR,1591764787,95,-51.62,-69.22,32.0,13.87
144,Bambous Virieux,75,MU,1591764787,73,-20.34,57.76,71.6,16.11
145,Fortuna,20,US,1591764788,100,40.6,-124.16,59.0,6.93
146,Anloga,20,GH,1591764788,88,5.79,0.9,77.0,3.36
147,Tayoltita,0,MX,1591764789,74,24.08,-105.93,70.57,0.63
148,Esperance,98,AU,1591764789,22,-33.87,121.9,75.2,14.99
149,Tiksi,70,RU,1591764789,90,71.69,128.87,32.68,11.16
150,Lompoc,0,US,1591764523,59,34.64,-120.46,63.0,5.26
151,Wanning,99,CN,1591764789,65,18.8,110.4,89.35,12.41
152,Hofn,3,IS,1591764790,76,64.25,-15.21,47.84,3.0
153,Bongandanga,85,CD,1591764790,97,1.5,21.05,70.95,2.08
154,Morón,25,AR,1591764652,100,-34.65,-58.62,55.0,1.12
155,Praia,20,CV,1591764790,83,14.92,-23.51,75.2,10.29
156,Sibolga,77,ID,1591764790,56,1.74,98.78,87.82,4.54
157,Severo-Kuril'sk,65,RU,1591764790,82,50.68,156.12,45.9,11.7
158,Ussel,23,FR,1591764791,97,45.55,2.32,41.58,2.66
159,Marabba,69,SD,1591764791,55,12.35,32.18,81.05,15.03
160,Sola,99,VU,1591764791,83,-13.88,167.55,81.5,16.58
161,Guerrero,87,MX,1591764792,76,17.67,-100.0,72.55,5.57
162,Temple,1,US,1591764792,31,31.1,-97.34,81.0,5.82
163,Los Llanos de Aridane,90,ES,1591764792,77,28.66,-17.92,69.8,8.05
164,Iqaluit,75,CA,1591764793,80,63.75,-68.51,30.2,18.34
165,Pisco,90,PE,1591764793,82,-13.7,-76.22,64.4,4.7
166,Kununurra,18,AU,1591764793,23,-15.77,128.73,87.8,11.41
167,Leningradskiy,99,RU,1591764793,31,69.38,178.42,64.11,8.9
168,Cherskiy,91,RU,1591764793,57,68.75,161.3,60.85,11.83
169,Saga,20,JP,1591764646,65,33.25,130.3,91.99,10.29
170,Lumberton,90,US,1591764755,94,34.62,-79.01,78.8,4.7
171,Barrow,90,US,1591764794,86,71.29,-156.79,30.2,9.17
172,Eureka,1,US,1591764794,87,40.8,-124.16,59.0,3.15
173,Malanje,40,AO,1591764794,98,-9.54,16.34,58.57,2.91
174,Morro Bay,0,US,1591764794,73,35.37,-120.85,71.01,1.99
175,Farafangana,32,MG,1591764794,82,-22.82,47.83,69.04,4.54
